"intersection","taxon","methods"
"I11","Unclassified_Ruminococcaceae","DASRA structural absence | MaAsLin3 | ZINQ | ANCOM-BC2 | LinDA"
"I12","Dorea","DASRA structural absence | MaAsLin3 | ZINQ | ANCOM-BC2 | LinDA | DESeq2 | metagenomeSeq"
"I12","Odoribacter","DASRA structural absence | MaAsLin3 | ZINQ | ANCOM-BC2 | LinDA | DESeq2 | metagenomeSeq"
"I13","Alistipes","DASRA structural absence | MaAsLin3 | ZINQ | ANCOM-BC2 | LinDA | metagenomeSeq"
"I13","Oscillibacter","DASRA structural absence | MaAsLin3 | ZINQ | ANCOM-BC2 | LinDA | metagenomeSeq"
"I14","Actinomyces","MaAsLin3 | ZINQ | LinDA | corncob | metagenomeSeq"
"I14","Buttiauxella","MaAsLin3 | ZINQ | LinDA | corncob | metagenomeSeq"
"I15","Lactonifactor","corncob"
"I16","Clostridium_XVIII","corncob | edgeR | DESeq2 | metagenomeSeq"
"I17","Clostridium_sensu_stricto","corncob | edgeR | metagenomeSeq"
"I18","Akkermansia","DASRA present-conditional abundance | corncob | edgeR | metagenomeSeq"
"I19","Proteus","DASRA present-conditional abundance | LinDA | corncob | DESeq2 | metagenomeSeq"
"I20","Unclassified_Selenomonadales","DASRA present-conditional abundance | MaAsLin3 | ANCOM-BC2 | LinDA | corncob | edgeR | DESeq2 | metagenomeSeq"
"I21","Tetragenococcus","DASRA present-conditional abundance | MaAsLin3 | ZINQ | ANCOM-BC2 | LinDA | corncob | DESeq2 | metagenomeSeq"
"I22","Erysipelotrichaceae_incertae_sedis","DASRA present-conditional abundance | MaAsLin3 | ZINQ | corncob | edgeR | DESeq2 | metagenomeSeq"
"I23","Sutterella","DASRA present-conditional abundance | ZINQ | ANCOM-BC2 | LinDA | corncob | edgeR | DESeq2 | metagenomeSeq"
"I24","Clostridium_XlVb","DASRA structural absence | DASRA present-conditional abundance | MaAsLin3 | ZINQ | ANCOM-BC2 | LinDA | corncob | edgeR | DESeq2"
"I25","Anaerostipes","DASRA structural absence | MaAsLin3 | ZINQ | ANCOM-BC2 | LinDA | corncob | DESeq2 | metagenomeSeq"
"I26","Blautia","DASRA structural absence | MaAsLin3 | ZINQ | edgeR | metagenomeSeq"
"I27","Anaerovorax","DASRA structural absence | MaAsLin3 | ZINQ | LinDA | DESeq2 | metagenomeSeq"
"I28","Unclassified_Acidaminococcaceae","DASRA structural absence | MaAsLin3 | ZINQ | LinDA | metagenomeSeq"
"I29","Clostridium_XlVa","DASRA structural absence | ZINQ | ANCOM-BC2 | LinDA"
"I30","Turicibacter","LinDA"
"I31","Clostridium_XI","LinDA | corncob | edgeR | DESeq2 | metagenomeSeq"
"I32","Sporobacter","MaAsLin3"
"I33","Bacteroides","MaAsLin3 | ZINQ | ANCOM-BC2 | LinDA | corncob | DESeq2 | metagenomeSeq"
"I34","Raoultella","MaAsLin3 | ZINQ | ANCOM-BC2 | LinDA | corncob | edgeR | DESeq2 | metagenomeSeq"
"I35","Ethanoligenens","MaAsLin3 | ZINQ | ANCOM-BC2 | LinDA | DESeq2 | metagenomeSeq"
"I36","Unclassified_Clostridia","MaAsLin3 | ZINQ | ANCOM-BC2 | LinDA | edgeR | DESeq2 | metagenomeSeq"
"I37","Unclassified_Prevotellaceae","MaAsLin3 | ZINQ | corncob | DESeq2 | metagenomeSeq"
"I38","Flavonifractor","MaAsLin3 | ZINQ | LinDA"
"I39","Fusobacterium","MaAsLin3 | ZINQ | LinDA | DESeq2 | metagenomeSeq"
"I40","Arthrobacter","MaAsLin3 | ZINQ | LinDA | metagenomeSeq"
"I41","Yersinia","ZINQ | ANCOM-BC2 | LinDA | corncob | DESeq2 | metagenomeSeq"
"I42","Unclassified_Firmicutes","ZINQ | LinDA | corncob | edgeR | DESeq2 | metagenomeSeq"
